SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,CATEGORY
109,111,0,0,612,17,0,6
261,85,0,0,111,42,15,3
109,111,0,0,832,16,0,6
109,111,0,0,1124,28,0,6
109,14,0,0,1532,28,0,6
109,72,1,1,411,8,0,6
109,88,1,0,1513,29,0,6
109,16,1,1,921,12,0,6
109,16,0,0,324,7,0,6
109,111,0,0,1532,37,0,6
109,111,1,0,523,9,0,6
109,111,0,0,1111,37,0,6
109,88,0,0,724,17,0,6
109,16,0,0,1523,37,0,6
109,16,0,0,2433,48,0,6
109,111,0,0,132,3,0,6
109,111,1,0,2521,31,0,6
109,34,1,0,1233,28,0,6
109,111,1,0,1224,27,0,6
109,124,0,0,513,9,0,6
109,124,1,0,1631,38,0,6
109,111,0,0,2011,40,0,6
109,67,1,0,321,6,0,6
109,111,0,0,1023,28,0,6
109,100,1,0,835,18,0,6
109,111,0,0,731,6,0,6
109,47,0,0,211,3,0,6
109,47,1,0,1533,28,0,6
109,111,0,0,322,6,0,6
109,111,0,0,925,3,0,6
109,72,0,0,223,20,0,6
109,14,1,0,811,23,0,6
109,20,0,0,1234,25,0,6
109,14,0,0,522,9,0,6
109,75,1,0,621,6,0,6
109,111,1,0,631,6,0,6
109,34,0,0,1823,27,0,6
109,111,1,0,1131,24,0,6
109,124,0,0,1531,37,0,6
109,111,0,0,324,8,0,6
109,70,0,0,231,20,0,6
109,111,0,0,811,13,0,6
109,111,0,1,133,4,0,6
109,100,1,0,1224,27,0,6
109,88,1,1,211,4,0,6
109,111,0,0,1011,24,0,6
109,89,0,0,611,18,0,6
109,111,0,0,725,16,0,6
109,20,0,0,913,11,0,6
109,14,0,0,1122,28,0,6
109,16,0,1,1523,37,0,6
109,111,0,0,1532,28,0,6
109,14,0,0,1713,33,0,6
109,94,0,0,1723,33,0,6
109,111,1,0,732,6,0,6
109,67,0,0,923,15,0,6
109,14,0,0,2424,49,0,6
109,111,0,0,1524,37,0,6
109,111,1,0,2431,49,0,6
109,35,0,0,133,3,0,6
109,111,0,0,2223,21,0,6
109,88,0,0,1513,29,0,6
109,14,0,0,1024,24,0,6
109,111,0,0,633,8,0,6
109,16,0,0,611,17,0,6
109,124,1,0,1115,28,0,6
109,16,1,0,333,8,0,6
109,115,0,0,522,9,0,6
109,75,0,0,324,5,0,6
109,111,0,0,331,5,0,6
109,20,0,0,231,20,0,6
109,111,0,0,1012,24,0,6
109,111,1,0,322,6,0,6
109,111,1,0,723,16,0,6
109,111,0,0,613,17,0,6
109,24,0,0,1123,28,0,6
109,111,0,1,1622,45,0,6
109,88,0,0,1024,22,0,6
109,14,0,0,1914,46,0,6
109,89,0,0,1431,1,0,6
109,16,1,1,1522,37,0,6
109,89,0,0,1013,22,0,6
109,111,0,0,1135,28,0,6
109,84,0,0,1522,29,0,6
109,94,0,0,513,9,0,6
109,16,0,0,223,3,0,6
109,75,1,1,2232,21,0,6
109,124,0,0,322,6,0,6
109,89,0,0,613,21,0,6
109,111,1,0,1031,22,0,6
109,111,0,0,1125,27,0,6
109,111,0,0,423,7,0,6
109,111,0,0,1512,29,0,6
109,111,0,0,2531,29,0,6
109,111,0,0,724,16,0,6
109,16,1,0,321,20,0,6
109,111,0,0,523,9,0,6
109,111,1,0,631,8,0,6
109,111,1,0,413,8,0,6
109,94,0,0,624,6,0,6
109,111,0,0,1121,27,0,6
109,14,0,0,1011,24,0,6
109,111,0,0,411,8,0,6
109,34,0,0,1233,28,0,6
109,115,0,0,422,7,0,6
109,111,0,0,1133,28,0,6
109,111,0,0,1112,27,0,6
109,111,0,0,2222,21,0,6
109,14,0,0,1222,27,0,6
109,75,1,0,431,7,0,6
109,111,0,0,332,5,0,6
109,111,0,0,712,16,0,6
109,111,0,0,522,9,0,6
109,111,0,0,824,15,0,6
109,20,0,0,2413,50,0,6
109,16,0,0,622,21,0,6
109,75,0,1,632,8,0,6
109,111,1,0,423,7,0,6
109,16,0,0,421,7,0,6
109,16,0,0,2512,29,0,6
109,111,0,0,1523,37,0,6
109,124,0,0,933,20,0,6
109,111,0,0,1133,24,0,6
109,111,1,0,2534,36,0,6
109,16,0,0,312,20,0,6
109,89,0,0,1222,27,0,6
109,111,0,0,133,3,0,6
109,110,0,0,632,8,0,6
109,111,0,0,1024,25,0,6
109,88,0,0,531,9,0,6
109,111,0,0,1122,27,0,6
109,111,0,0,1234,25,0,6
109,124,0,0,1031,22,0,6
109,111,0,0,621,17,0,6
109,111,0,0,1222,27,0,6
109,111,0,0,1131,24,0,6
109,111,0,0,221,3,0,6
109,16,1,1,1023,28,0,6
109,16,0,0,623,6,0,6
109,14,0,0,432,10,0,6
109,100,0,0,1013,22,0,6
109,111,0,0,431,7,0,6
109,111,0,0,1033,25,0,6
109,70,0,0,334,7,0,6
109,94,1,0,532,9,0,6
109,111,0,0,1222,28,0,6
109,115,0,0,934,20,0,6
109,111,0,0,1433,27,0,6
109,14,0,0,922,12,0,6
109,33,0,1,1233,28,0,6
109,111,0,0,523,21,0,6
109,111,0,0,1115,28,0,6
109,94,0,0,611,17,0,6
109,111,0,0,321,5,0,6
109,115,0,0,1132,28,0,6
109,111,0,0,1113,28,0,6
109,111,0,0,623,6,0,6
109,94,0,0,531,9,0,6
109,111,0,0,1712,33,0,6
109,111,0,0,1032,22,0,6
109,84,1,0,1834,42,0,6
109,111,0,0,1824,42,0,6
109,111,0,0,1123,28,0,6
109,111,0,0,1232,28,0,6
109,33,0,0,131,3,0,6
109,89,0,0,1925,44,0,6
109,111,1,0,1831,42,0,6
109,111,0,0,424,10,0,6
109,111,1,0,323,6,0,6
109,94,0,0,1122,27,0,6
109,111,0,0,933,20,0,6
109,16,1,1,1532,28,0,6
109,111,0,0,524,21,0,6
109,65,0,0,322,6,0,6
109,75,0,0,532,9,0,6
109,111,0,0,323,6,0,6
109,111,0,0,1021,24,0,6
109,20,0,1,912,12,0,6
109,14,1,0,333,7,0,6
109,111,0,0,1423,26,0,6
109,124,0,0,835,18,0,6
109,67,0,0,1511,29,0,6
109,111,0,0,622,21,0,6
109,111,1,0,914,11,0,6
109,111,1,0,731,6,0,6
109,20,0,0,1034,25,0,6
109,111,0,0,1122,28,0,6
109,14,0,0,634,9,0,6
109,89,0,0,914,11,0,6
109,58,1,0,824,14,0,6
109,88,1,0,2424,49,0,6
109,89,0,0,723,16,0,6
109,75,0,0,432,10,0,6
109,111,0,0,1233,25,0,6
109,112,1,0,223,3,0,6
109,111,0,0,734,17,0,6
109,111,1,0,1133,24,0,6
109,111,0,0,822,14,0,6
109,111,1,0,1533,24,0,6
109,111,0,1,1522,29,0,6
109,88,0,0,234,5,0,6
109,88,0,0,1022,24,0,6
109,67,1,0,935,20,0,6
109,111,0,0,232,20,0,6
109,75,0,0,834,18,0,6
109,20,0,0,1922,47,0,6
109,115,0,0,1122,28,0,6
109,16,1,1,2413,50,0,6
109,88,0,0,1033,25,0,6
109,111,0,0,624,6,0,6
109,111,0,0,1214,27,0,6
109,111,1,0,1225,27,0,6
109,14,1,0,1412,35,0,6
109,16,1,1,334,7,0,6
109,115,0,0,1114,28,0,6
109,16,0,0,1122,27,0,6
109,115,0,0,833,18,0,6
109,89,0,0,822,23,0,6
109,16,0,0,322,6,0,6
109,124,0,0,1012,24,0,6
109,111,0,0,713,16,0,6
109,111,0,0,733,17,0,6
109,111,0,0,2533,37,0,6
109,16,1,1,331,5,0,6
109,14,0,0,1021,24,0,6
109,20,0,0,712,16,0,6
109,111,0,0,422,7,0,6
109,75,1,1,613,17,0,6
109,111,0,0,831,18,0,6
109,111,0,0,611,17,0,6
109,89,0,0,1914,46,0,6
109,16,0,0,321,20,0,6
109,111,0,0,722,20,0,6
109,20,0,0,734,17,0,6
109,67,0,0,613,17,0,6
109,20,0,0,412,8,0,6
109,111,0,0,623,17,0,6
109,111,0,0,522,21,0,6
109,16,0,0,914,11,0,6
109,14,0,0,1821,27,0,6
109,111,0,0,1013,22,0,6
109,111,0,0,2431,49,0,6
109,111,0,1,322,6,0,6
109,111,0,0,1112,36,0,6
109,111,0,0,221,4,0,6
109,111,0,0,321,20,0,6
109,111,0,0,513,9,0,6
109,111,0,0,823,15,0,6
109,111,0,0,1533,28,0,6
109,67,0,0,911,12,0,6
109,111,0,0,324,7,0,6
109,111,0,0,531,9,0,6
109,14,0,0,331,5,0,6
109,111,0,0,212,4,0,6
109,111,0,0,732,6,0,6
109,111,0,0,512,9,0,6
109,111,1,0,531,9,0,6
109,14,0,0,321,20,0,6
109,89,0,0,211,4,0,6
109,89,1,0,411,8,0,6
109,111,0,0,2522,26,0,6
109,111,0,0,1422,26,0,6
109,111,1,0,932,16,0,6
109,89,0,0,214,4,0,6
109,111,0,0,1621,39,0,6
109,89,1,0,124,28,0,6
109,111,0,0,624,8,0,6
109,111,1,0,2514,30,0,6
109,67,1,0,621,17,0,6
109,75,1,1,2012,40,0,6
109,111,0,0,932,16,0,6
109,16,1,0,1112,27,0,6
109,14,0,0,422,7,0,6
109,111,0,0,924,15,0,6
109,16,0,0,935,20,0,6
109,14,0,0,311,20,0,6
109,33,0,0,311,20,0,6
109,111,0,0,931,20,0,6
109,67,1,0,623,17,0,6
109,75,1,1,835,18,0,6
109,14,0,0,1135,28,0,6
109,14,0,0,633,8,0,6
109,89,1,0,1533,28,0,6
109,111,0,0,1032,25,0,6
109,75,1,1,321,20,0,6
109,115,1,0,332,5,0,6
109,88,0,0,421,7,0,6
109,89,0,0,832,17,0,6
109,58,0,0,1533,28,0,6
109,111,0,0,2221,18,0,6
109,111,0,0,1122,37,0,6
109,51,1,0,1713,33,0,6
109,111,0,0,714,16,0,6
109,111,1,0,331,5,0,6
109,111,0,0,2213,19,0,6
109,111,1,0,1531,37,0,6
109,111,0,0,825,16,0,6
109,111,0,0,824,16,0,6
109,115,0,0,612,17,0,6
109,47,1,0,2533,37,0,6
109,75,0,0,2531,29,0,6
109,111,0,0,922,15,0,6
109,111,0,0,1713,33,0,6
109,14,0,0,322,6,0,6
109,111,0,0,614,18,0,6
109,89,0,0,632,6,0,6
109,111,0,0,511,8,0,6
109,111,1,0,2222,21,0,6
109,111,0,0,634,9,0,6
109,111,0,0,923,15,0,6
109,111,1,0,1532,37,0,6
109,16,1,1,1113,28,0,6
109,111,0,0,213,3,0,6
109,111,0,0,421,7,0,6
109,72,0,0,522,9,0,6
109,14,0,0,2233,21,0,6
109,111,1,0,824,15,0,6
109,111,0,0,123,34,0,6
109,101,1,0,1524,37,0,6
109,20,0,0,332,5,0,6
109,75,0,1,614,17,0,6
109,111,0,0,724,17,0,6
109,16,0,0,614,17,0,6
109,16,1,1,1021,24,0,6
109,111,1,0,2233,21,0,6
109,34,0,0,133,3,0,6
109,111,1,0,1113,28,0,6
109,95,0,0,924,12,0,6
109,75,0,0,822,14,0,6
109,123,0,0,2533,26,0,6
109,14,0,0,623,6,0,6
109,14,0,0,424,7,0,6
109,111,0,0,1024,22,0,6
109,111,1,0,2412,50,0,6
109,14,0,0,723,20,0,6
109,89,0,0,732,6,0,6
109,16,0,0,1531,37,0,6
109,89,0,0,1121,27,0,6
109,16,1,1,332,5,0,6
109,67,0,0,712,16,0,6
109,20,0,0,713,16,0,6
109,111,0,0,1031,22,0,6
109,124,0,0,2223,21,0,6
109,33,0,0,915,3,0,6
109,14,0,0,732,6,0,6
109,67,0,0,331,5,0,6
109,16,0,0,222,4,0,6
109,26,0,0,713,16,0,6
109,72,0,0,413,7,0,6
109,16,1,1,913,11,0,6
109,111,0,0,2422,49,0,6
109,111,0,0,1531,37,0,6
109,111,0,0,824,14,0,6
109,111,1,0,1011,24,0,6
109,16,1,0,1021,24,0,6
109,111,1,0,1024,24,0,6
109,75,1,0,633,8,0,6
109,14,0,0,1522,29,0,6
109,75,1,0,1115,28,0,6
109,16,0,1,321,5,0,6
109,111,1,0,1935,43,0,6
109,16,0,0,1024,22,0,6
109,16,0,0,722,6,0,6
109,111,0,0,2234,21,0,6
109,111,1,0,231,20,0,6
109,111,1,0,321,20,0,6
109,111,0,0,923,14,0,6
109,16,1,0,311,20,0,6
109,111,0,0,631,6,0,6
109,16,1,1,1533,28,0,6
109,111,0,0,1413,35,0,6
109,111,1,0,2422,49,0,6
109,75,0,0,634,9,0,6
109,112,0,0,2525,35,0,6
181,85,0,0,235,5,24,2
238,16,0,1,823,15,8,6
261,16,0,0,413,8,15,3
5,107,1,0,631,8,3,6
116,16,0,0,2412,50,12,1
271,111,1,0,1522,29,16,4
238,16,0,1,1722,39,8,6
238,14,1,0,111,34,8,6
265,97,0,0,1834,42,15,3
247,103,0,0,1013,22,8,2
238,96,0,1,432,10,8,6
19,96,0,0,2524,31,12,1
199,111,1,0,934,16,19,0
42,111,0,0,1522,37,7,3
238,108,0,0,915,11,8,6
115,43,1,0,1232,34,19,0
261,16,0,0,712,16,15,3
238,111,0,0,2212,19,9,6
59,111,0,0,631,8,7,3
5,16,0,1,1811,2,3,6
59,111,0,0,133,4,7,3
284,111,1,0,2534,26,24,2
233,50,1,0,113,34,24,2
96,96,0,1,2223,9,9,6
261,43,0,1,1233,28,15,3
96,16,1,1,2412,50,9,6
238,96,0,1,2223,21,8,6
108,16,0,0,211,3,12,1
260,97,0,1,1224,27,24,3
17,96,0,1,511,9,4,6
265,111,0,0,2534,26,15,3
42,111,0,0,222,4,7,3
5,33,0,0,533,10,4,6
223,88,0,0,913,11,18,5
238,16,0,0,823,15,8,6
179,111,1,0,1234,25,16,2
2,96,0,1,2534,37,4,6
113,22,0,0,1624,38,11,1
83,54,0,0,1713,33,15,3
265,111,0,0,814,23,15,3
238,107,0,0,1833,42,9,6
59,111,0,0,914,11,7,3
247,16,0,0,1914,46,8,2
42,111,0,0,2513,29,7,3
182,111,0,0,2023,48,24,2
96,16,0,1,421,7,9,6
261,16,0,1,1012,24,15,3
59,6,0,0,1654,41,7,3
261,16,0,0,1222,27,15,3
42,111,0,0,1122,27,7,3
260,67,0,0,321,6,24,3
83,16,0,0,911,12,15,3
123,16,0,0,1121,27,24,2
238,107,0,0,2234,21,9,6
238,111,0,0,1011,24,9,6
96,16,0,1,322,6,9,6
169,73,0,0,1834,2,2,6
265,111,0,0,2222,21,15,3
17,16,0,1,623,6,4,6
102,111,1,0,2431,49,24,2
107,96,0,0,1915,46,12,1
238,36,0,0,1233,28,8,6
238,14,0,0,1624,38,8,6
45,96,0,0,222,4,12,1
265,97,0,0,2534,26,15,3
238,79,0,0,113,4,8,6
284,111,0,0,631,6,24,2
96,0,0,1,713,16,9,6
111,100,0,0,1911,40,5,3
21,67,1,0,713,16,4,6
96,16,0,1,312,20,9,6
247,16,0,1,612,17,8,2
169,16,0,0,2412,50,2,6
195,90,1,0,612,17,19,0
238,16,0,1,2533,37,8,6
56,111,0,0,231,20,2,6
155,0,1,0,712,16,19,0
116,107,0,0,1831,42,12,1
